t 	 vel_treadmill 	 CPG_LF 	 CPG_LH 	 CPG_RF 	 CPG_RH 	 Cycle_LF 	 Cycle_LH 	 Cycle_RF 	 Cycle_RH 	 RG-F_fV_LF 	 RG-E_fV_LF 	 RG-F_fV_LH 	 RG-E_fV_LH 	 RG-F_fV_RF 	 RG-E_fV_RF 	 RG-F_fV_RH 	 RG-E_fV_RH 	 RG-F_V_LF 	 RG-E_V_LF 	 RG-F_V_LH 	 RG-E_V_LH 	 RG-F_V_RF 	 RG-E_V_RF 	 RG-F_V_RH 	 RG-E_V_RH 	 PF-Sw_LF 	 PF-St_LF 	 PF-Lo_LF 	 PF-Td_LF 	 PF-Sw_LH 	 PF-St_LH 	 PF-Lo_LH 	 PF-Td_LH 	 PF-Sw_RF 	 PF-St_RF 	 PF-Lo_RF 	 PF-Td_RF 	 PF-Sw_RH 	 PF-St_RH 	 PF-Lo_RH 	 PF-Td_RH 	 Mn-1_LF 	 Mn-2_LF 	 Mn-3_LF 	 Mn-4_LF 	 Mn-5_LF 	 Mn-6_LF 	 Mn-1_LH 	 Mn-2_LH 	 Mn-3_LH 	 Mn-4_LH 	 Mn-5_LH 	 Mn-6_LH 	 Mn-1_RF 	 Mn-2_RF 	 Mn-3_RF 	 Mn-4_RF 	 Mn-5_RF 	 Mn-6_RF 	 Mn-1_RH 	 Mn-2_RH 	 Mn-3_RH 	 Mn-4_RH 	 Mn-5_RH 	 Mn-6_RH 	 Mn-1_LF_ONOFF 	 Mn-2_LF_ONOFF 	 Mn-3_LF_ONOFF 	 Mn-4_LF_ONOFF 	 Mn-5_LF_ONOFF 	 Mn-6_LF_ONOFF 	 Mn-1_LH_ONOFF 	 Mn-2_LH_ONOFF 	 Mn-3_LH_ONOFF 	 Mn-4_LH_ONOFF 	 Mn-5_LH_ONOFF 	 Mn-6_LH_ONOFF 	 Mn-1_RF_ONOFF 	 Mn-2_RF_ONOFF 	 Mn-3_RF_ONOFF 	 Mn-4_RF_ONOFF 	 Mn-5_RF_ONOFF 	 Mn-6_RF_ONOFF 	 Mn-1_RH_ONOFF 	 Mn-2_RH_ONOFF 	 Mn-3_RH_ONOFF 	 Mn-4_RH_ONOFF 	 Mn-5_RH_ONOFF 	 Mn-6_RH_ONOFF 	 touch_LF 	 touch_LH 	 touch_RF 	 touch_RH 	 feed_prs_LF 	 feed_prs_LH 	 feed_prs_RF 	 feed_prs_RH 	 RG-F_period_LF 	 RG-E_period_LF 	 RG-F_period_LH 	 RG-E_period_LH 	 RG-F_period_RF 	 RG-E_period_RF 	 RG-F_period_RH 	 RG-E_period_RH 	 duty_ratio_LF 	 duty_ratio_LH 	 duty_ratio_RF 	 duty_ratio_RH 	 In_Feed_LF 	 In_Feed_LH 	 In_Feed_RF 	 In_Feed_RH 	 muscle_io 	 
0.011345 	 1.133047 	 0.232045 	 0.232045 	 0.232045 	 0.232045 	 0.470041 	 0.470041 	 0.470041 	 0.470041 	 0.000000 	 0.232045 	 0.000000 	 0.232045 	 0.000000 	 0.232045 	 0.000000 	 0.232045 	 -52.297245 	 -39.574387 	 -52.297245 	 -39.574387 	 -52.297245 	 -39.574387 	 -52.297245 	 -39.574387 	 0.000000 	 0.126583 	 0.000000 	 0.000000 	 0.000000 	 0.126508 	 0.000000 	 0.000000 	 0.000000 	 0.126508 	 0.000000 	 0.000000 	 0.000000 	 0.126583 	 0.000000 	 0.000000 	 0.000000 	 0.117313 	 0.000000 	 0.117549 	 0.000000 	 0.117549 	 0.000000 	 0.117325 	 0.000000 	 0.117470 	 0.000000 	 0.117470 	 0.000000 	 0.117325 	 0.000000 	 0.117470 	 0.000000 	 0.117470 	 0.000000 	 0.117313 	 0.000000 	 0.117549 	 0.000000 	 0.117549 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.318819 	 0.318819 	 0.318819 	 0.318819 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 11184810 	 
0.022341 	 1.167481 	 0.072846 	 0.072846 	 0.072846 	 0.072846 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.153893 	 0.226739 	 0.153893 	 0.226739 	 0.153893 	 0.226739 	 0.153893 	 0.226739 	 -43.635101 	 -39.814518 	 -43.635101 	 -39.814518 	 -43.635101 	 -39.814518 	 -43.635101 	 -39.814518 	 0.000000 	 0.124568 	 0.088103 	 0.000000 	 0.000000 	 0.124493 	 0.088112 	 0.000000 	 0.000000 	 0.124493 	 0.088112 	 0.000000 	 0.000000 	 0.124568 	 0.088103 	 0.000000 	 0.000000 	 0.202157 	 0.000000 	 0.115626 	 0.000000 	 0.115626 	 0.000000 	 0.202185 	 0.000000 	 0.115549 	 0.000000 	 0.115549 	 0.000000 	 0.202185 	 0.000000 	 0.115549 	 0.000000 	 0.115549 	 0.000000 	 0.202157 	 0.000000 	 0.115626 	 0.000000 	 0.115626 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.318819 	 0.318819 	 0.318819 	 0.318819 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 11184810 	 
0.032351 	 1.153142 	 -0.136248 	 -0.136248 	 -0.136248 	 -0.136248 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.240183 	 0.103935 	 0.240183 	 0.103935 	 0.240183 	 0.103935 	 0.240183 	 0.103935 	 -39.213421 	 -47.234005 	 -39.213421 	 -47.234005 	 -39.213421 	 -47.234005 	 -39.213421 	 -47.234005 	 0.000000 	 0.000000 	 0.171021 	 0.000000 	 0.000000 	 0.000000 	 0.171055 	 0.000000 	 0.000000 	 0.000000 	 0.171055 	 0.000000 	 0.000000 	 0.000000 	 0.171021 	 0.000000 	 0.000000 	 0.223566 	 0.134763 	 0.000000 	 0.134763 	 0.000000 	 0.000000 	 0.223597 	 0.134807 	 0.000000 	 0.134807 	 0.000000 	 0.000000 	 0.223597 	 0.134807 	 0.000000 	 0.134807 	 0.000000 	 0.000000 	 0.223566 	 0.134763 	 0.000000 	 0.134763 	 0.000000 	 0 	 3 	 3 	 0 	 3 	 3 	 0 	 3 	 3 	 0 	 3 	 3 	 0 	 3 	 3 	 0 	 3 	 3 	 0 	 3 	 3 	 0 	 3 	 3 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.344038 	 0.161023 	 0.318819 	 0.318819 	 0.318819 	 0.318819 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 14380470 	 
0.044344 	 1.152627 	 -0.286723 	 -0.286723 	 -0.286723 	 -0.286723 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.286723 	 0.000000 	 0.286723 	 0.000000 	 0.286723 	 0.000000 	 0.286723 	 0.000000 	 -37.290829 	 -58.938492 	 -37.290829 	 -58.938492 	 -37.290829 	 -58.938492 	 -37.290829 	 -58.938492 	 0.135277 	 0.000000 	 0.179020 	 0.000000 	 0.135324 	 0.000000 	 0.179061 	 0.000000 	 0.135324 	 0.000000 	 0.179061 	 0.000000 	 0.135277 	 0.000000 	 0.179020 	 0.000000 	 0.060400 	 0.267930 	 0.540784 	 0.000000 	 0.540784 	 0.000000 	 0.060396 	 0.268173 	 0.540895 	 0.000000 	 0.540895 	 0.000000 	 0.060396 	 0.268173 	 0.540895 	 0.000000 	 0.540895 	 0.000000 	 0.060400 	 0.267930 	 0.540784 	 0.000000 	 0.540784 	 0.000000 	 0 	 3 	 3 	 0 	 3 	 0 	 0 	 3 	 3 	 0 	 3 	 0 	 0 	 3 	 3 	 0 	 3 	 0 	 0 	 3 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.321487 	 0.321487 	 0.321487 	 0.321487 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 5858710 	 
0.054354 	 1.151631 	 -0.279594 	 -0.279594 	 -0.279594 	 -0.279594 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.279594 	 0.000000 	 0.279594 	 0.000000 	 0.279594 	 0.000000 	 0.279594 	 0.000000 	 -37.571823 	 -60.544029 	 -37.571823 	 -60.544029 	 -37.571823 	 -60.544029 	 -37.571823 	 -60.544029 	 0.142833 	 0.000000 	 0.082312 	 0.000000 	 0.142566 	 0.000000 	 0.082322 	 0.000000 	 0.142566 	 0.000000 	 0.082322 	 0.000000 	 0.142833 	 0.000000 	 0.082312 	 0.000000 	 0.167921 	 0.087612 	 0.387614 	 0.000000 	 0.387614 	 0.000000 	 0.169852 	 0.087760 	 0.391954 	 0.000000 	 0.391954 	 0.000000 	 0.169852 	 0.087760 	 0.391954 	 0.000000 	 0.391954 	 0.000000 	 0.167921 	 0.087612 	 0.387614 	 0.000000 	 0.387614 	 0.000000 	 3 	 3 	 3 	 0 	 3 	 0 	 3 	 3 	 3 	 0 	 3 	 0 	 3 	 3 	 3 	 0 	 3 	 0 	 3 	 3 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.321487 	 0.321487 	 0.321487 	 0.321487 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 6125015 	 
0.066347 	 1.152172 	 -0.266662 	 -0.266662 	 -0.266662 	 -0.266662 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.266662 	 0.000000 	 0.266662 	 0.000000 	 0.266662 	 0.000000 	 0.266662 	 0.000000 	 -38.093010 	 -60.508640 	 -38.093010 	 -60.508640 	 -38.093010 	 -60.508640 	 -38.093010 	 -60.508640 	 0.138672 	 0.000000 	 0.000000 	 0.000000 	 0.138691 	 0.000000 	 0.000000 	 0.000000 	 0.138691 	 0.000000 	 0.000000 	 0.000000 	 0.138672 	 0.000000 	 0.000000 	 0.000000 	 0.141455 	 0.000000 	 0.144354 	 0.000000 	 0.144354 	 0.000000 	 0.141980 	 0.000000 	 0.144136 	 0.000000 	 0.144136 	 0.000000 	 0.141980 	 0.000000 	 0.144136 	 0.000000 	 0.144136 	 0.000000 	 0.141455 	 0.000000 	 0.144354 	 0.000000 	 0.144354 	 0.000000 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.321487 	 0.321487 	 0.321487 	 0.321487 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 5592405 	 
0.078352 	 1.152260 	 -0.255284 	 -0.255284 	 -0.255284 	 -0.255284 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.255284 	 0.000000 	 0.255284 	 0.000000 	 0.255284 	 0.000000 	 0.255284 	 0.000000 	 -38.565002 	 -60.240570 	 -38.565002 	 -60.240570 	 -38.565002 	 -60.240570 	 -38.565002 	 -60.240570 	 0.134827 	 0.000000 	 0.000000 	 0.000000 	 0.134891 	 0.000000 	 0.000000 	 0.000000 	 0.134891 	 0.000000 	 0.000000 	 0.000000 	 0.134827 	 0.000000 	 0.000000 	 0.000000 	 0.134067 	 0.000000 	 0.134584 	 0.000000 	 0.134584 	 0.000000 	 0.134121 	 0.000000 	 0.134620 	 0.000000 	 0.134620 	 0.000000 	 0.134121 	 0.000000 	 0.134620 	 0.000000 	 0.134620 	 0.000000 	 0.134067 	 0.000000 	 0.134584 	 0.000000 	 0.134584 	 0.000000 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.321487 	 0.321487 	 0.321487 	 0.321487 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 5592405 	 
0.090347 	 1.147588 	 -0.245431 	 -0.245431 	 -0.245431 	 -0.245431 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.245431 	 0.000000 	 0.245431 	 0.000000 	 0.245431 	 0.000000 	 0.245431 	 0.000000 	 -38.985054 	 -59.955982 	 -38.985054 	 -59.955982 	 -38.985054 	 -59.955982 	 -38.985054 	 -59.955982 	 0.131372 	 0.000000 	 0.000000 	 0.000000 	 0.131443 	 0.000000 	 0.000000 	 0.000000 	 0.131443 	 0.000000 	 0.000000 	 0.000000 	 0.131372 	 0.000000 	 0.000000 	 0.000000 	 0.124506 	 0.000000 	 0.125152 	 0.000000 	 0.125152 	 0.000000 	 0.124497 	 0.000000 	 0.125218 	 0.000000 	 0.125218 	 0.000000 	 0.124497 	 0.000000 	 0.125218 	 0.000000 	 0.125218 	 0.000000 	 0.124506 	 0.000000 	 0.125152 	 0.000000 	 0.125152 	 0.000000 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.321487 	 0.321487 	 0.321487 	 0.321487 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 5592405 	 
0.100355 	 1.144126 	 -0.239912 	 -0.239912 	 -0.239912 	 -0.239912 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.239912 	 0.000000 	 0.239912 	 0.000000 	 0.239912 	 0.000000 	 0.239912 	 0.000000 	 -39.225285 	 -59.744156 	 -39.225285 	 -59.744156 	 -39.225285 	 -59.744156 	 -39.225285 	 -59.744156 	 0.128602 	 0.000000 	 0.000000 	 0.000000 	 0.128672 	 0.000000 	 0.000000 	 0.000000 	 0.128672 	 0.000000 	 0.000000 	 0.000000 	 0.128602 	 0.000000 	 0.000000 	 0.000000 	 0.119263 	 0.000000 	 0.118368 	 0.000000 	 0.118368 	 0.000000 	 0.119247 	 0.000000 	 0.118436 	 0.000000 	 0.118436 	 0.000000 	 0.119247 	 0.000000 	 0.118436 	 0.000000 	 0.118436 	 0.000000 	 0.119263 	 0.000000 	 0.118368 	 0.000000 	 0.118368 	 0.000000 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.321487 	 0.321487 	 0.321487 	 0.321487 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 5592405 	 
0.112350 	 1.144461 	 -0.231568 	 -0.231568 	 -0.231568 	 -0.231568 	 0.471054 	 0.471054 	 0.471054 	 0.471054 	 0.231568 	 0.000000 	 0.231568 	 0.000000 	 0.231568 	 0.000000 	 0.231568 	 0.000000 	 -39.595848 	 -59.465908 	 -39.595848 	 -59.465908 	 -39.595848 	 -59.465908 	 -39.595848 	 -59.465908 	 0.125916 	 0.000000 	 0.000000 	 0.000000 	 0.125985 	 0.000000 	 0.000000 	 0.000000 	 0.125985 	 0.000000 	 0.000000 	 0.000000 	 0.125916 	 0.000000 	 0.000000 	 0.000000 	 0.112334 	 0.000000 	 0.112499 	 0.000000 	 0.112499 	 0.000000 	 0.112317 	 0.000000 	 0.112565 	 0.000000 	 0.112565 	 0.000000 	 0.112317 	 0.000000 	 0.112565 	 0.000000 	 0.112565 	 0.000000 	 0.112334 	 0.000000 	 0.112499 	 0.000000 	 0.112499 	 0.000000 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.344038 	 0.163009 	 0.321487 	 0.321487 	 0.321487 	 0.321487 	 0.000000 	 0.000000 	 0.000000 	 0.000000 	 5592405 	 
